ID,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response
5268,8/11/13,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0
273,7/16/13,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0
4452,5/28/14,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1
8504,5/12/14,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0
771,1/21/14,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0
8996,11/19/12,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,3,11,0
9235,5/27/14,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0
5798,11/23/13,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,3,11,0
11178,3/23/14,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0
2230,5/24/14,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0
7516,5/22/14,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0
7247,11/22/12,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0
11100,4/11/13,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0
4646,12/1/13,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0
3037,6/20/13,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0
1473,7/23/13,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0
1016,3/30/14,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0
4518,4/20/13,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0
9370,5/17/13,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0
8908,5/8/14,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1
8373,12/10/13,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0
7533,9/24/13,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0
2683,2/2/13,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0
3629,12/19/12,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0
10991,12/7/12,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0
5077,11/2/13,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0
7431,11/10/12,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1
3267,6/25/14,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0
999,1/2/13,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1
9215,12/12/12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0
2286,9/10/13,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0
1592,1/24/14,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0
367,2/19/13,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0
5234,7/11/13,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0
9862,11/14/13,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0
9805,6/20/13,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0
6205,2/24/14,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1
8442,9/4/13,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0
7386,4/22/13,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0
7215,3/12/13,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,3,11,1
1491,2/18/13,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,3,11,0
11071,4/21/13,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,3,11,1
3381,6/8/14,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,3,11,0
8268,7/11/13,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,3,11,0
11051,5/10/14,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,3,11,0
8026,9/30/13,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,3,11,0
433,3/10/13,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,3,11,0
9597,2/10/14,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,3,11,0
1295,8/11/13,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,3,11,0
5290,8/14/13,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,3,11,0
1685,3/17/13,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,3,11,0
5342,8/8/12,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,3,11,0
9579,7/7/13,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,3,11,0
7660,5/19/14,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,3,11,1
1461,7/28/13,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0
821,10/19/12,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,3,11,0
11084,11/14/13,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,3,11,1
8690,4/19/13,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,3,11,0
2937,8/28/13,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,3,11,0
9701,3/19/13,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,3,11,0
9949,10/18/12,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,3,11,0
10837,10/28/12,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,3,11,1
3120,8/28/13,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,3,11,0
5885,8/22/12,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,3,11,0
4050,6/21/14,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,3,11,0
3830,4/24/14,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,3,11,0
7987,3/7/14,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,3,11,0
7798,12/14/12,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,3,11,0
92,5/12/14,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,3,11,0
7055,10/9/12,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,3,11,0
10240,2/19/13,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,3,11,1
3025,7/8/13,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,3,11,0
9283,9/12/13,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,3,11,0
9970,10/17/13,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,3,11,0
2730,8/20/13,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,3,11,0
2795,7/1/13,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,3,11,0
9260,11/5/12,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,3,11,0
8182,1/5/14,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,3,11,0
10095,5/1/13,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,3,11,0
8475,3/1/14,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,3,11,0
4370,11/13/13,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,3,11,0
10573,11/18/13,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,3,11,0
3712,8/28/13,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,3,11,0
6637,11/2/13,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,3,11,0
3152,2/25/14,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,3,11,0
5610,4/21/14,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0
6460,7/13/13,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,3,11,0
1349,4/21/14,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,3,11,0
1880,1/30/14,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,3,11,0
641,4/4/14,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,3,11,0
8717,9/12/12,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,3,11,0
10314,12/16/12,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,3,11,1
10854,5/23/14,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0
10492,6/24/14,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,3,11,0
6935,12/1/13,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0
7698,5/11/14,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,3,11,0
3559,5/10/14,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,3,11,0
10562,9/28/13,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,3,11,0
10796,1/22/14,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,3,11,0
2563,6/15/14,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,3,11,0
3518,12/5/12,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,3,11,0
5823,3/8/14,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,3,11,0
3934,8/2/13,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,3,11,0
6982,3/19/13,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,3,11,0
6431,2/23/13,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0
9733,9/9/12,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,3,11,0
5602,5/17/13,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,3,11,0
7829,9/26/13,99,15,6,8,7,4,25,1,2,1,2,5,0,0,0,0,0,1,3,11,0
1324,5/30/13,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,3,11,0
326,2/18/13,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,3,11,0
7224,12/29/13,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,3,11,0
6999,5/13/14,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,3,11,0
9938,9/19/13,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,3,11,0
6422,1/17/13,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,3,11,0
3182,3/31/14,81,96,1,79,7,1,79,6,5,1,3,8,1,0,0,0,0,0,3,11,1
7300,6/29/14,50,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,0,3,11,0
10424,12/9/13,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,3,11,0
8727,10/14/13,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,3,11,0
2798,11/2/12,54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,0,3,11,1
1030,7/17/13,72,22,0,13,0,0,3,2,1,0,3,7,0,0,0,0,0,0,3,11,0
624,11/10/12,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,0,3,11,1
5176,12/8/13,88,7,6,13,7,6,14,1,1,0,3,9,1,0,0,0,0,0,3,11,0
5552,5/13/13,50,81,18,113,47,13,21,6,4,2,5,6,0,0,0,0,0,0,3,11,0
868,6/8/14,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,3,11,0
380,9/10/12,17,1170,48,320,42,32,192,5,11,4,9,8,1,0,0,0,0,0,3,11,1
2677,3/31/13,11,72,24,68,65,4,8,5,3,1,6,4,0,0,0,0,0,0,3,11,0
6521,3/18/14,18,613,22,319,33,102,12,1,4,6,9,1,0,0,0,0,0,0,3,11,0
6927,10/5/12,70,224,0,30,0,0,10,8,5,1,5,8,0,0,0,0,0,0,3,11,0
2877,1/21/13,21,410,0,59,19,9,44,10,7,1,8,7,0,0,0,0,0,0,3,11,0
0,5/4/13,66,239,10,554,254,87,54,1,3,4,9,1,0,0,0,0,0,0,3,11,0
1584,4/1/14,79,171,7,171,25,19,89,6,8,1,5,8,0,0,0,0,0,0,3,11,0
7264,5/12/14,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,3,11,0
6274,11/15/13,81,1076,16,417,42,48,16,1,8,10,6,3,0,1,1,0,0,0,3,11,0
1377,8/31/13,24,182,4,33,0,0,66,2,4,1,5,7,0,0,0,0,0,0,3,11,0
454,11/14/12,48,824,32,162,42,32,43,2,11,4,11,6,0,0,0,0,0,0,3,11,0
1755,4/11/14,93,30,11,25,29,1,18,1,1,1,4,3,0,0,0,0,0,0,3,11,0
2075,11/14/13,56,377,10,540,80,30,10,1,3,5,7,1,0,0,0,0,0,0,3,11,0
4785,4/14/14,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,3,11,0
9076,1/5/13,44,155,1,25,0,1,3,4,4,1,4,8,0,0,0,0,0,0,3,11,0
7079,9/8/12,38,897,23,207,15,11,92,5,9,6,12,6,0,0,0,0,0,0,3,11,0
4653,3/26/13,46,131,0,16,2,1,39,4,3,1,4,8,0,0,0,0,0,0,3,11,0
7375,10/25/12,84,297,7,79,0,11,182,2,8,2,4,8,0,0,0,0,0,0,3,11,0
709,12/9/12,27,787,20,204,0,0,92,3,2,2,11,8,0,0,0,0,0,0,3,11,0
460,8/8/12,72,792,86,740,67,51,17,1,3,5,8,2,0,0,0,0,0,0,3,11,0
3726,2/16/14,66,4,1,9,3,0,0,1,1,0,2,8,0,0,0,0,0,0,3,11,0
6798,3/20/13,30,231,7,137,4,15,39,9,5,1,8,7,0,0,0,0,0,0,3,11,1
5341,1/5/13,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,3,11,0
1606,5/15/13,65,3,1,8,4,3,3,1,1,0,2,8,0,0,0,0,0,0,3,11,0
9617,4/16/14,37,0,4,5,6,0,4,1,1,0,3,3,0,0,0,0,0,0,3,11,0
3233,3/23/13,89,562,21,464,28,10,32,3,7,8,11,5,0,0,0,0,0,0,3,11,0
89,12/9/13,49,5,9,20,6,8,21,2,2,0,4,6,0,0,0,0,0,0,3,11,0
2936,12/4/13,46,18,0,4,0,0,1,1,1,0,3,7,0,0,0,0,0,0,3,11,0
9449,10/4/13,32,415,5,124,15,35,11,1,5,2,11,3,0,0,0,0,0,0,3,11,0
7297,12/26/13,54,5,3,10,12,7,20,4,3,1,3,7,0,0,0,0,0,0,3,11,0
11004,5/17/14,23,8,0,5,7,0,2,1,1,0,2,4,0,0,0,0,0,0,3,11,0
313,10/28/13,98,901,61,757,186,163,20,1,6,5,10,3,0,1,0,0,0,0,3,11,0
9940,12/23/12,97,382,114,276,75,124,38,2,6,4,4,3,0,0,0,0,0,0,3,11,0
10735,7/31/13,75,14,1,7,2,1,1,1,2,0,2,9,0,0,0,0,0,0,3,11,0
9529,11/28/13,8,559,153,503,218,13,181,1,3,9,9,2,0,0,0,1,0,0,3,11,1
6439,8/17/12,37,789,0,133,0,28,152,7,11,5,8,7,0,0,0,0,0,0,3,11,0
7411,6/5/14,31,11,0,5,0,0,1,2,1,0,3,6,0,0,0,0,0,0,3,11,0
2176,5/20/13,40,1218,16,272,104,0,80,2,5,3,6,6,0,1,1,1,0,0,3,11,1
9265,1/9/13,74,925,64,179,133,12,77,2,9,4,6,5,0,0,0,0,0,0,3,11,0
8867,8/31/12,90,864,134,768,150,38,172,1,4,10,5,3,0,0,0,0,0,0,3,11,0
8932,10/29/12,57,960,28,183,220,70,70,4,9,6,6,6,0,0,0,0,0,0,3,11,0
10236,9/16/13,59,16,3,25,6,1,13,2,2,0,3,8,0,0,0,0,0,0,3,11,0
6340,10/27/13,52,3,3,7,0,2,11,2,1,0,3,6,0,0,0,0,0,0,3,11,0
10089,4/5/13,5,168,148,444,32,172,148,1,6,9,13,2,0,1,1,1,1,0,3,11,1
2227,9/22/12,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,3,11,0
10992,8/29/12,77,650,28,353,45,42,30,5,4,6,11,8,0,0,0,0,0,0,3,11,0
5304,10/13/12,35,24,0,8,0,0,1,2,1,0,3,6,0,0,0,0,0,0,3,11,0
309,10/16/12,48,918,21,118,13,10,21,3,8,3,5,6,0,1,0,0,0,0,3,11,0
3406,10/22/12,97,138,33,87,28,24,12,4,3,2,7,3,0,0,0,0,0,0,3,11,0
2661,6/4/13,95,12,4,2,10,6,10,4,2,0,4,5,0,0,0,0,0,0,3,11,0
3153,12/8/13,24,11,0,4,0,0,2,1,1,0,2,8,0,0,0,0,0,0,3,11,0
10264,10/10/12,60,1,2,8,4,3,13,2,1,1,2,7,1,0,0,0,0,0,3,11,1
1184,5/22/13,46,554,41,215,11,0,24,3,10,2,10,5,0,0,0,0,0,0,3,11,0
4200,6/17/14,85,167,2,62,24,13,7,4,4,1,6,5,0,0,0,0,0,0,3,11,0
9396,11/23/12,31,9,0,6,4,1,5,1,1,0,2,9,0,0,0,0,0,0,3,11,0
2387,2/3/13,9,177,2,71,3,2,20,6,5,2,4,8,0,0,0,0,0,0,3,11,1
6690,3/14/13,30,38,4,22,4,2,20,4,3,1,3,7,0,0,0,0,0,0,3,11,0
1225,6/26/14,47,483,84,398,205,84,241,1,3,7,8,1,1,0,0,0,0,0,3,11,0
