Education,Marital_Status,Income,Child_Status,Total_Spend_2_Years,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Income_Group,Web_Frequency
Bachelor,With Partner,38547.0,1 or More,22,1,0,2,Middle,Low
Master,With Partner,35688.0,1 or More,211,4,1,4,Middle,Normal
Master,With Partner,49605.0,No Child,127,2,1,4,Middle,Low
Master,With Partner,59354.0,1 or More,459,4,4,7,Middle,Normal
Bachelor,With Partner,65747.0,1 or More,460,8,1,6,Upper Middle,High
Master,With Partner,46344.0,1 or More,429,7,1,5,Middle,High
Bachelor,No Partner,34176.0,1 or More,89,3,0,4,Middle,Low
PhD,With Partner,61010.0,1 or More,1021,8,5,11,Middle,High
Bachelor,With Partner,69372.0,No Child,1381,10,4,6,Upper Middle,High
Bachelor,No Partner,49967.0,1 or More,306,6,1,5,Middle,Normal
Bachelor,No Partner,60199.0,1 or More,18,0,0,3,Middle,
Bachelor,With Partner,55375.0,1 or More,162,1,1,6,Middle,Low
Bachelor,No Partner,80317.0,No Child,1231,3,4,10,Upper Middle,Low
Master,No Partner,30523.0,1 or More,13,1,0,2,Middle,Low
PhD,With Partner,70356.0,No Child,1706,10,6,9,Upper Middle,High
Bachelor,With Partner,23228.0,1 or More,121,3,0,4,Low,Low
PhD,No Partner,74165.0,No Child,1293,5,4,10,Upper Middle,Normal
PhD,With Partner,157243.0,1 or More,1608,0,22,0,High,
Bachelor,With Partner,43482.0,1 or More,88,2,0,4,Middle,Low
Bachelor,No Partner,62551.0,No Child,421,6,7,4,Middle,Normal
Bachelor,No Partner,52332.0,No Child,259,3,2,6,Middle,Low
Bachelor,No Partner,66951.0,No Child,1117,3,4,7,Upper Middle,Low
Bachelor,With Partner,26091.0,1 or More,89,2,1,3,Low,Low
Bachelor,With Partner,33456.0,1 or More,36,1,0,3,Middle,Low
Bachelor,With Partner,28718.0,1 or More,57,2,0,3,Low,Low
Bachelor,With Partner,50447.0,1 or More,148,3,1,3,Middle,Low
PhD,With Partner,53537.0,1 or More,93,2,1,3,Middle,Low
Bachelor,No Partner,52074.0,1 or More,119,2,2,2,Middle,Low
PhD,With Partner,80427.0,1 or More,1835,11,8,8,Upper Middle,High
PhD,With Partner,83837.0,No Child,1318,9,10,5,Upper Middle,High
PhD,With Partner,38853.0,1 or More,45,2,0,3,Middle,Low
Bachelor,With Partner,38285.0,1 or More,10,0,0,3,Middle,
Master,With Partner,78497.0,No Child,978,5,7,12,Upper Middle,Normal
PhD,With Partner,51650.0,1 or More,191,4,1,4,Middle,Normal
Master,With Partner,16248.0,1 or More,57,2,1,3,Low,Low
Master,With Partner,66835.0,No Child,1033,6,4,13,Upper Middle,Normal
Master,With Partner,30477.0,1 or More,66,1,1,3,Middle,Low
Bachelor,With Partner,28249.0,No Child,43,2,0,3,Low,Low
Bachelor,With Partner,25271.0,1 or More,50,1,1,2,Low,Low
PhD,No Partner,32303.0,1 or More,39,1,0,4,Middle,Low
Bachelor,With Partner,61286.0,1 or More,608,7,1,8,Middle,High
Bachelor,With Partner,74068.0,No Child,1581,4,10,9,Upper Middle,Normal
PhD,With Partner,45759.0,1 or More,68,2,0,3,Middle,Low
Bachelor,With Partner,24882.0,1 or More,80,1,1,2,Low,Low
PhD,With Partner,66973.0,No Child,1282,8,7,12,Upper Middle,High
Master,No Partner,36640.0,1 or More,65,2,1,2,Middle,Low
Bachelor,With Partner,38872.0,1 or More,91,3,0,3,Middle,Low
Bachelor,With Partner,51148.0,1 or More,315,5,1,6,Middle,Normal
Bachelor,With Partner,31353.0,1 or More,31,1,1,2,Middle,Low
Master,With Partner,69661.0,No Child,834,7,3,12,Upper Middle,High
Bachelor,With Partner,80067.0,No Child,1600,4,6,6,Upper Middle,Normal
Bachelor,With Partner,86718.0,No Child,1270,5,6,5,Upper Middle,Normal
PhD,No Partner,46854.0,1 or More,263,5,1,3,Middle,Normal
Bachelor,No Partner,69142.0,1 or More,535,8,1,7,Upper Middle,High
Bachelor,No Partner,75922.0,No Child,1295,4,4,9,Upper Middle,Normal
Bachelor,No Partner,63693.0,1 or More,1150,11,6,9,Middle,High
PhD,With Partner,102160.0,No Child,1240,7,9,10,High,High
PhD,No Partner,40637.0,1 or More,38,1,0,3,Middle,Low
Master,No Partner,18890.0,No Child,35,0,1,2,Low,
Bachelor,With Partner,29604.0,1 or More,53,1,0,3,Low,Low
Master,No Partner,48721.0,1 or More,293,4,2,5,Middle,Normal
Bachelor,With Partner,44794.0,1 or More,65,2,0,3,Middle,Low
Bachelor,No Partner,64497.0,1 or More,1804,11,4,9,Middle,High
Bachelor,With Partner,46097.0,1 or More,241,3,1,6,Middle,Low
Bachelor,With Partner,77972.0,No Child,1101,4,6,9,Upper Middle,Normal
PhD,With Partner,44377.0,1 or More,264,5,1,5,Middle,Normal
Master,With Partner,46014.0,1 or More,541,7,1,8,Middle,High
Bachelor,With Partner,70951.0,No Child,1198,3,4,9,Upper Middle,Low
Bachelor,With Partner,41443.0,1 or More,482,8,1,5,Middle,High
Master,No Partner,52195.0,1 or More,17,1,0,2,Middle,Low
Master,With Partner,83790.0,No Child,1615,8,10,6,Upper Middle,High
Master,No Partner,44551.0,1 or More,285,4,1,5,Middle,Normal
Bachelor,With Partner,69508.0,1 or More,1135,11,4,11,Upper Middle,High
Master,With Partner,45204.0,1 or More,114,1,1,4,Middle,Low
Bachelor,With Partner,72460.0,No Child,1047,3,5,7,Upper Middle,Low
PhD,With Partner,77622.0,1 or More,714,6,3,11,Upper Middle,Normal
PhD,With Partner,30732.0,1 or More,185,4,1,4,Middle,Normal
Bachelor,No Partner,63887.0,1 or More,1245,9,6,12,Middle,High
Bachelor,With Partner,42011.0,1 or More,189,3,1,4,Middle,Low
Bachelor,With Partner,51369.0,1 or More,576,8,2,4,Middle,High
Bachelor,No Partner,51537.0,1 or More,1103,2,2,11,Middle,Low
PhD,With Partner,79930.0,No Child,1753,3,5,8,Upper Middle,Low
PhD,With Partner,34320.0,1 or More,17,1,0,2,Middle,Low
Bachelor,No Partner,37070.0,1 or More,433,5,1,8,Middle,Normal
Master,No Partner,81975.0,1 or More,1588,6,3,4,Upper Middle,Normal
Bachelor,With Partner,38590.0,1 or More,22,1,0,2,Middle,Low
Bachelor,No Partner,15033.0,No Child,19,1,0,3,Low,Low
PhD,With Partner,62745.0,1 or More,1117,7,8,11,Middle,High
Master,With Partner,22212.0,1 or More,69,2,0,4,Low,Low
Master,With Partner,23661.0,1 or More,23,1,0,3,Low,Low
PhD,No Partner,79761.0,1 or More,605,5,2,11,Upper Middle,Normal
Bachelor,No Partner,7500.0,1 or More,57,3,1,3,Low,Low
Master,No Partner,60182.0,1 or More,22,1,0,2,Middle,Low
Bachelor,No Partner,73455.0,No Child,2088,6,5,10,Upper Middle,Normal
Bachelor,With Partner,64961.0,1 or More,1009,6,4,4,Middle,Normal
Bachelor,No Partner,22804.0,1 or More,26,2,0,2,Low,Low
Bachelor,With Partner,73687.0,No Child,1627,3,9,9,Upper Middle,Low
Bachelor,With Partner,61074.0,1 or More,1102,11,5,8,Middle,High
PhD,With Partner,31686.0,1 or More,17,1,0,3,Middle,Low
Bachelor,With Partner,80134.0,1 or More,1690,5,3,6,Upper Middle,Normal
Bachelor,With Partner,75027.0,1 or More,1390,9,4,6,Upper Middle,High
PhD,With Partner,67546.0,No Child,2126,4,10,5,Upper Middle,Normal
Master,With Partner,65176.0,1 or More,1531,9,6,6,Upper Middle,High
Master,No Partner,31160.0,1 or More,64,2,0,3,Middle,Low
Bachelor,No Partner,29938.0,1 or More,26,1,0,3,Low,Low
Bachelor,No Partner,102692.0,No Child,1112,6,9,13,High,Normal
Master,With Partner,26490.0,No Child,210,3,1,5,Low,Low
Bachelor,With Partner,75702.0,1 or More,1148,4,6,11,Upper Middle,Normal
PhD,No Partner,30899.0,1 or More,33,1,0,3,Middle,Low
PhD,With Partner,63342.0,1 or More,1101,8,3,5,Middle,High
Bachelor,No Partner,45989.0,1 or More,322,3,2,7,Middle,Low
Bachelor,No Partner,18701.0,1 or More,44,2,0,4,Low,Low
PhD,No Partner,40737.0,1 or More,17,1,0,2,Middle,Low
Bachelor,No Partner,15287.0,1 or More,31,1,1,2,Low,Low
PhD,No Partner,69674.0,1 or More,845,10,2,10,Upper Middle,High
Master,With Partner,44159.0,1 or More,275,4,1,6,Middle,Normal
PhD,With Partner,37717.0,1 or More,25,1,0,2,Middle,Low
Master,With Partner,43776.0,1 or More,275,5,2,4,Middle,Normal
Master,With Partner,38179.0,1 or More,90,3,1,3,Middle,Low
Bachelor,With Partner,80124.0,No Child,1495,3,7,8,Upper Middle,Low
PhD,With Partner,38097.0,1 or More,184,3,2,2,Middle,Low
Bachelor,With Partner,72940.0,No Child,981,3,3,6,Upper Middle,Low
Bachelor,With Partner,22070.0,1 or More,67,2,2,2,Low,Low
Bachelor,No Partner,69267.0,No Child,1635,3,4,5,Upper Middle,Low
Master,No Partner,31788.0,1 or More,60,3,0,4,Middle,Low
PhD,With Partner,61905.0,1 or More,231,4,2,4,Middle,Normal
Bachelor,With Partner,29315.0,1 or More,48,2,0,4,Low,Low
Bachelor,No Partner,33378.0,1 or More,99,2,0,4,Middle,Low
PhD,With Partner,66313.0,1 or More,770,6,3,12,Upper Middle,Normal
Bachelor,No Partner,60714.0,No Child,957,7,4,10,Middle,High
Master,With Partner,77882.0,No Child,818,3,3,5,Upper Middle,Low
PhD,No Partner,69867.0,No Child,925,3,5,8,Upper Middle,Low
Master,No Partner,63841.0,1 or More,908,9,3,9,Middle,High
Bachelor,With Partner,24480.0,1 or More,102,3,0,4,Low,Low
Bachelor,With Partner,51369.0,1 or More,576,8,2,4,Middle,High
Bachelor,With Partner,37760.0,No Child,317,4,1,6,Middle,Normal
PhD,With Partner,65640.0,1 or More,461,5,1,8,Upper Middle,Normal
Master,With Partner,44319.0,1 or More,37,2,0,3,Middle,Low
Bachelor,With Partner,30631.0,1 or More,70,3,1,2,Middle,Low
Bachelor,With Partner,75278.0,No Child,930,6,3,13,Upper Middle,Normal
Master,With Partner,50898.0,1 or More,859,6,2,12,Middle,Normal
Bachelor,No Partner,79946.0,No Child,1478,5,11,5,Upper Middle,Normal
Master,No Partner,35416.0,No Child,390,7,1,5,Middle,High
Master,With Partner,32414.0,No Child,52,1,0,3,Middle,Low
Bachelor,With Partner,38361.0,1 or More,137,3,1,3,Middle,Low
Bachelor,With Partner,82497.0,No Child,1919,2,7,9,Upper Middle,Low
Bachelor,With Partner,16626.0,1 or More,68,3,0,3,Low,Low
Bachelor,With Partner,29672.0,1 or More,25,0,0,3,Low,
Master,With Partner,55951.0,1 or More,1374,3,6,11,Middle,Low
Master,No Partner,35388.0,1 or More,32,1,0,3,Middle,Low
Master,With Partner,42386.0,1 or More,100,3,0,3,Middle,Low
Bachelor,No Partner,68627.0,No Child,825,2,3,6,Upper Middle,Low
PhD,No Partner,57912.0,1 or More,916,8,3,12,Middle,High
Bachelor,No Partner,35246.0,1 or More,62,3,1,3,Middle,Low
Master,With Partner,58821.0,1 or More,728,9,2,9,Middle,High
PhD,With Partner,46377.0,1 or More,90,2,1,3,Middle,Low
Bachelor,No Partner,39747.0,1 or More,273,5,1,4,Middle,Normal
Bachelor,With Partner,23976.0,1 or More,66,3,1,3,Low,Low
Master,With Partner,80950.0,No Child,1213,6,7,9,Upper Middle,Normal
Bachelor,No Partner,27038.0,No Child,107,3,0,3,Low,Low
Bachelor,No Partner,77457.0,No Child,1157,2,5,10,Upper Middle,Low
Master,With Partner,64100.0,1 or More,546,8,3,6,Middle,High
Master,With Partner,42670.0,No Child,241,4,2,4,Middle,Normal
Bachelor,No Partner,12571.0,1 or More,53,3,1,3,Low,Low
Bachelor,With Partner,22574.0,1 or More,37,2,0,3,Low,Low
Master,No Partner,70893.0,No Child,1508,6,6,10,Upper Middle,Normal
Bachelor,With Partner,54198.0,1 or More,235,3,1,6,Middle,Low
Master,With Partner,28839.0,1 or More,32,2,0,3,Low,Low
Bachelor,With Partner,40321.0,1 or More,102,3,0,3,Middle,Low
Bachelor,No Partner,66503.0,1 or More,401,4,3,6,Upper Middle,Normal
Bachelor,With Partner,30833.0,1 or More,28,1,0,3,Middle,Low
Bachelor,With Partner,64795.0,1 or More,680,3,3,12,Middle,Low
Bachelor,With Partner,34421.0,1 or More,30,1,0,2,Middle,Low
PhD,No Partner,47025.0,1 or More,20,1,0,2,Middle,Low
PhD,No Partner,64325.0,1 or More,1307,10,3,5,Middle,High
Bachelor,No Partner,40464.0,1 or More,630,8,2,8,Middle,High
Bachelor,With Partner,62187.0,No Child,1283,4,8,5,Middle,Normal
PhD,No Partner,14849.0,1 or More,65,2,0,4,Low,Low
Bachelor,With Partner,27255.0,1 or More,37,1,0,3,Low,Low
PhD,With Partner,54432.0,1 or More,38,1,0,3,Middle,Low
PhD,No Partner,29999.0,1 or More,160,3,1,4,Low,Low
Bachelor,No Partner,24072.0,1 or More,23,1,0,2,Low,Low
PhD,No Partner,33996.0,No Child,71,1,1,3,Middle,Low
PhD,With Partner,66334.0,1 or More,1161,9,3,5,Upper Middle,High
Master,With Partner,35178.0,1 or More,59,1,1,2,Middle,Low
Bachelor,With Partner,22010.0,1 or More,33,2,0,3,Low,Low
Bachelor,No Partner,62204.0,1 or More,946,4,5,12,Middle,Normal
Bachelor,No Partner,75693.0,No Child,1442,11,4,6,Upper Middle,High
Bachelor,With Partner,30675.0,1 or More,62,1,0,3,Middle,Low
Bachelor,With Partner,83003.0,No Child,1674,7,6,8,Upper Middle,High
PhD,With Partner,83532.0,No Child,1853,4,6,4,Upper Middle,Normal
Bachelor,No Partner,68655.0,No Child,1538,4,5,11,Upper Middle,Normal
Bachelor,No Partner,41411.0,No Child,139,2,1,4,Middle,Low
PhD,With Partner,55212.0,1 or More,1182,4,2,11,Middle,Normal
PhD,With Partner,59292.0,1 or More,507,3,5,8,Middle,Low
Bachelor,With Partner,27190.0,1 or More,18,1,0,2,Low,Low
Bachelor,No Partner,82623.0,No Child,940,2,9,4,Upper Middle,Low
Bachelor,With Partner,44300.0,1 or More,42,1,0,3,Middle,Low
Bachelor,No Partner,84835.0,No Child,1190,4,4,6,Upper Middle,Normal
Bachelor,No Partner,30372.0,1 or More,44,2,0,3,Middle,Low
Master,With Partner,33181.0,1 or More,16,1,0,2,Middle,Low
Bachelor,With Partner,71113.0,1 or More,835,6,7,9,Upper Middle,Normal
Bachelor,With Partner,71952.0,1 or More,1443,8,4,8,Upper Middle,High
PhD,No Partner,69759.0,No Child,1029,4,6,5,Upper Middle,Normal
Bachelor,With Partner,72099.0,No Child,1188,3,4,10,Upper Middle,Low
PhD,No Partner,60000.0,1 or More,1277,11,3,5,Middle,High
Bachelor,No Partner,38643.0,1 or More,49,2,0,3,Middle,Low
Bachelor,With Partner,50737.0,1 or More,99,2,0,4,Middle,Low
PhD,With Partner,68462.0,No Child,1670,3,3,8,Upper Middle,Low
Master,With Partner,65073.0,No Child,900,5,3,5,Upper Middle,Normal
PhD,With Partner,46681.0,1 or More,425,4,6,4,Middle,Normal
Bachelor,With Partner,78618.0,No Child,2153,4,7,10,Upper Middle,Normal
PhD,No Partner,62187.0,1 or More,636,6,2,10,Middle,Normal
Bachelor,With Partner,28442.0,1 or More,57,2,1,4,Low,Low
PhD,With Partner,37717.0,1 or More,25,1,0,2,Middle,Low
Bachelor,With Partner,51479.0,1 or More,494,6,3,6,Middle,Normal
Bachelor,No Partner,54803.0,1 or More,693,6,2,9,Middle,Normal
Bachelor,With Partner,79530.0,No Child,1348,4,10,11,Upper Middle,Normal
Bachelor,No Partner,31615.0,1 or More,51,2,0,3,Middle,Low
Bachelor,With Partner,72025.0,No Child,1932,4,3,8,Upper Middle,Normal
PhD,No Partner,52614.0,1 or More,990,2,4,8,Middle,Low
Master,With Partner,35684.0,1 or More,30,1,0,3,Middle,Low
Bachelor,With Partner,48178.0,1 or More,254,5,1,4,Middle,Normal
Master,No Partner,29548.0,1 or More,29,1,1,2,Low,Low
Bachelor,No Partner,63810.0,1 or More,1371,4,3,12,Middle,Normal
PhD,No Partner,38578.0,1 or More,73,3,0,3,Middle,Low
Master,No Partner,46098.0,1 or More,120,3,2,2,Middle,Low
Bachelor,No Partner,22585.0,No Child,81,1,1,2,Low,Low
Bachelor,No Partner,30279.0,1 or More,37,1,0,3,Middle,Low
PhD,With Partner,66426.0,1 or More,1377,3,5,10,Upper Middle,Low
Bachelor,No Partner,30822.0,1 or More,51,1,0,3,Middle,Low
PhD,With Partner,33581.0,1 or More,17,1,0,2,Middle,Low
Bachelor,With Partner,19986.0,1 or More,22,0,0,3,Low,
Bachelor,No Partner,27421.0,No Child,324,4,1,6,Low,Normal
Master,With Partner,35688.0,1 or More,211,4,1,4,Middle,Normal
Master,No Partner,36143.0,1 or More,19,0,1,2,Middle,
Bachelor,No Partner,10245.0,1 or More,41,1,2,2,Low,Low
Master,With Partner,43795.0,1 or More,492,7,3,4,Middle,High
Bachelor,With Partner,63381.0,1 or More,1005,4,5,13,Middle,Normal
Bachelor,With Partner,38823.0,1 or More,114,2,1,3,Middle,Low
PhD,No Partner,83664.0,1 or More,1173,2,2,12,Upper Middle,Low
Bachelor,With Partner,90300.0,No Child,1738,5,6,8,Upper Middle,Normal
Master,With Partner,62499.0,1 or More,222,3,1,6,Middle,Low
Bachelor,No Partner,74293.0,No Child,1127,5,4,6,Upper Middle,Normal
PhD,With Partner,51012.0,No Child,209,4,1,4,Middle,Normal
Master,With Partner,70777.0,1 or More,787,5,3,12,Upper Middle,Normal
PhD,With Partner,68682.0,No Child,1598,4,9,10,Upper Middle,Normal
Bachelor,With Partner,43824.0,1 or More,186,3,1,4,Middle,Low
Bachelor,With Partner,15345.0,1 or More,47,1,1,2,Low,Low
Bachelor,No Partner,23442.0,1 or More,27,1,0,3,Low,Low
Master,With Partner,14515.0,1 or More,96,2,2,3,Low,Low
Master,No Partner,31395.0,1 or More,64,2,1,3,Middle,Low
Bachelor,With Partner,75276.0,No Child,1040,9,4,9,Upper Middle,High
